,id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,is.neg,mean_pH_site,mean_temp_site,mean_sal_site,mean_do_site,mean_par_site,range_pH_site,range_temp_site,range_sal_site,range_do_site,range_par_site,site_nice,m_rb,coral_species,tp_suffix,number_time
D12,D12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/20,2020,November,1,SM_bay,44,44_radians,44_radians_SM_bay,44SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_D12_November_2020,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2020 bay,Siderastrea radians,b,44b
D2,D2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,42,42_siderea,42_siderea_SM_reef,42SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D2_November_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2020 reef,Siderastrea siderea,b,42b
D3,D3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,43,43_siderea,43_siderea_SM_reef,43SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D3_November_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2020 reef,Siderastrea siderea,b,43b
D4,D4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D4_November_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2020 reef,Siderastrea siderea,b,63b
D5,D5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_D5_November_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2020 reef,Siderastrea siderea,b,64b
D7,D7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D7_November_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2020 bay,Siderastrea radians,b,75b
D8,D8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,79,79_radians,79_radians_SW_bay,79SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D8_November_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2020 bay,Siderastrea radians,b,79b
D9,D9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/20,2020,November,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_D9_November_2020,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2020 bay,Siderastrea radians,b,80b
F1,F1,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/20,2020,November,5,SM_reef,68,68_porites,68_porites_SM_reef,68PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_F1_November_2020,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2020 reef,Porites sp.,b,68b
F10,F10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,35,35_siderea,35_siderea_SM_bay,35SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_F10_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea siderea,c,35c
F11,F11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,37,37_siderea,37_siderea_SM_bay,37SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_F11_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea siderea,c,37c
F12,F12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,70,70_siderea,70_siderea_SM_bay,70SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_F12_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea siderea,c,70c
F2,F2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,59,59_siderea,59_siderea_SW_bay,59SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F2_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea siderea,c,59c
F3,F3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,77,77_siderea,77_siderea_SW_bay,77SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F3_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea siderea,c,77c
F4,F4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,83,83_siderea,83_siderea_SW_bay,83SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F4_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea siderea,c,83c
F5,F5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,95,95_siderea,95_siderea_SW_bay,95SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_F5_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea siderea,c,95c
F6,F6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,69,69_siderea,69_siderea_SW_reef,69SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F6_November_2021,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,November_2021 reef,Siderastrea siderea,c,69c
F7,F7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,85,85_siderea,85_siderea_SW_reef,85SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F7_November_2021,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,November_2021 reef,Siderastrea siderea,c,85c
F8,F8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,96,96_siderea,96_siderea_SW_reef,96SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F8_November_2021,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,November_2021 reef,Siderastrea siderea,c,96c
F9,F9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,11/1/21,2021,November,5,SW_reef,97,97_siderea,97_siderea_SW_reef,97SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_F9_November_2021,FALSE,8.047646275,28.51712935,35.58084344,6.310593286,532.1785342,0.630546,3.52,1.42991559,3.44,1759.366821,Spaanse Water Reef,November_2021 reef,Siderastrea siderea,c,97c
G1,G1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,82,82_siderea,82_siderea_SM_bay,82SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G1_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea siderea,c,82c
G10,G10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,44,44_radians,44_radians_SM_bay,44SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G10_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea radians,c,44c
G11,G11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,73,73_radians,73_radians_SM_bay,73SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G11_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea radians,c,73c
G12,G12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,88,88_radians,88_radians_SM_bay,88SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_G12_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea radians,c,88c
G2,G2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,42,42_siderea,42_siderea_SM_reef,42SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G2_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Siderastrea siderea,c,42c
G3,G3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G3_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Siderastrea siderea,c,63c
G4,G4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G4_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Siderastrea siderea,c,64c
G5,G5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,72,72_siderea,72_siderea_SM_reef,72SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G5_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Siderastrea siderea,c,72c
G6,G6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G6_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea radians,c,75c
G7,G7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G7_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea radians,c,80c
G8,G8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,84,84_radians,84_radians_SW_bay,84SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G8_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea radians,c,84c
G9,G9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,98,98_radians,98_radians_SW_bay,98SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G9_November_2021,FALSE,7.976361734,28.77875942,35.40012799,6.08658331,316.617909,0.645544,5.14,3.39430111,6.45,1391.908169,Spaanse Water Bay,November_2021 bay,Siderastrea radians,c,98c
H1,H1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,95,95_radians,95_radians_SM_bay,95SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H1_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Siderastrea radians,c,95c
H10,H10,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,47,47_porites,47_porites_SM_reef,47PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H10_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Porites sp.,c,47c
H11,H11,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,52,52_porites,52_porites_SM_reef,52PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H11_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Porites sp.,c,52c
H2,H2,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,1,SM_reef,7,7_porites,7_porites_SM_reef,7PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H2_November_2021,FALSE,8.041232107,28.45125721,35.36889033,6.211836765,670.5445991,0.633093,3.18,3.67483942,2.84,2122.055021,Santa Martha Reef,November_2021 reef,Porites sp.,c,7c
H3,H3,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,11,11_porites,11_porites_SM_bay,11PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H3_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Porites sp.,c,11c
H4,H4,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,24,24_porites,24_porites_SM_bay,24PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H4_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Porites sp.,c,24c
H5,H5,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,25,25_porites,25_porites_SM_bay,25PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H5_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Porites sp.,c,25c
H6,H6,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,50,50_porites,50_porites_SM_bay,50PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H6_November_2021,FALSE,8.060383832,28.08237994,35.07786986,6.179520315,468.650535,0.540967,6.24,9.4628401,6.52,1644.409065,Santa Martha Bay,November_2021 bay,Porites sp.,c,50c
