,id,host_phylum,host_class,host_order,host_family,host_genus,host_species,site,area,reef_bay,collection_latitude,collection_longitude,collection_date,collection_year,collection_month,collection_depth,site_zone,number,no_sp,no_sp_lo,full_sample_id,m_y,m_y_s_z,sample_full,dominant_type
78,G3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,63,63_siderea,63_siderea_SM_reef,63SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G3_November_2021,C1
79,G4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,64,64_siderea,64_siderea_SM_reef,64SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G4_November_2021,C3
80,G5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,72,72_siderea,72_siderea_SM_reef,72SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_G5_November_2021,C3
81,G6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,75,75_radians,75_radians_SW_bay,75SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G6_November_2021,C46
82,G7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,80,80_radians,80_radians_SW_bay,80SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G7_November_2021,C46
83,G8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,84,84_radians,84_radians_SW_bay,84SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G8_November_2021,C46
84,G9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,11/1/21,2021,November,1,SW_bay,98,98_radians,98_radians_SW_bay,98SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_G9_November_2021,C46
85,H1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,95,95_radians,95_radians_SM_bay,95SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H1_November_2021,C46
86,H10,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,47,47_porites,47_porites_SM_reef,47PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H10_November_2021,C42
87,H11,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,52,52_porites,52_porites_SM_reef,52PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H11_November_2021,C47a
88,H12,,,,,,,,,,NA,NA,,NA,,NA,,,,,blank,_NA,_NA_,__H12__NA,NA
89,H2,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,1,SM_reef,7,7_porites,7_porites_SM_reef,7PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H2_November_2021,C42
90,H3,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,11,11_porites,11_porites_SM_bay,11PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H3_November_2021,A4
91,H4,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,24,24_porites,24_porites_SM_bay,24PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H4_November_2021,A4
92,H5,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,25,25_porites,25_porites_SM_bay,25PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H5_November_2021,A4
93,H6,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,11/1/21,2021,November,1,SM_bay,50,50_porites,50_porites_SM_bay,50PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_H6_November_2021,A4
94,H7,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,3,3_porites,3_porites_SM_reef,3PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H7_November_2021,C47a
95,H8,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,4,4_porites,4_porites_SM_reef,4PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H8_November_2021,C47a
96,H9,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,11/1/21,2021,November,5,SM_reef,28,28_porites,28_porites_SM_reef,28PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_H9_November_2021,C47a
97,I10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202003,2020,March,1,SW_bay,71,71_siderea,71_siderea_SW_bay,71SSSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_I10_March_2020,D1
98,I11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202003,2020,March,1,SW_bay,88,88_siderea,88_siderea_SW_bay,88SSSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_I11_March_2020,D1
99,I12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202003,2020,March,5,SW_reef,1,1_siderea,1_siderea_SW_reef,1SSDBMarch2020,March_2020,March_2020_SW_reef,SW_reef_I12_March_2020,D1
100,J1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202003,2020,March,5,SW_reef,2,2_siderea,2_siderea_SW_reef,21SSDBMarch2020,March_2020,March_2020_SW_reef,SW_reef_J1_March_2020,C3
101,J10,cnidaria,anthozoa,scleractinia,Poritidae,Porites,astreoides,SWB,SW,reef,12.07093,68.8585,202003,2020,March,5,SW_reef,2,2_astreoides,2_astreoides_SW_reef,2PASWBMarch2020,March_2020,March_2020_SW_reef,SW_reef_J10_March_2020,A4
102,J11,cnidaria,anthozoa,scleractinia,Poritidae,Porites,astreoides,SWB,SW,reef,12.07093,68.8585,202003,2020,March,5,SW_reef,3,3_astreoides,3_astreoides_SW_reef,3PASWBMarch2020,March_2020,March_2020_SW_reef,SW_reef_J11_March_2020,A4
103,J12,cnidaria,anthozoa,scleractinia,Poritidae,Porites,astreoides,DB,SW,bay,12.06624,68.86019,202003,2020,March,1,SW_bay,2,2_astreoides,2_astreoides_SW_bay,2PADBMarch2020,March_2020,March_2020_SW_bay,SW_bay_J12_March_2020,A4
104,J2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202003,2020,March,1,SM_bay,14,14_siderea,14_siderea_SM_bay,14SSSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_J2_March_2020,D1
105,J3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202003,2020,March,1,SM_bay,10,10_siderea,10_siderea_SM_bay,100SSSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_J3_March_2020,C1
106,J4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202003,2020,March,5,SM_reef,3,3_siderea,3_siderea_SM_reef,3SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_J4_March_2020,D1
107,J5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202003,2020,March,5,SM_reef,65,65_siderea,65_siderea_SM_reef,65SSSMRMarch2020,March_2020,March_2020_SM_reef,SM_reef_J5_March_2020,C3
108,J6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,202003,2020,March,1,SW_bay,9,9_radians,9_radians_SW_bay,9SRSWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_J6_March_2020,C46
109,J7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,202003,2020,March,1,SM_bay,81,81_radians,81_radians_SM_bay,81SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_J7_March_2020,C46
110,J8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,202003,2020,March,1,SM_bay,94,94_radians,94_radians_SM_bay,94SRSMBMarch2020,March_2020,March_2020_SM_bay,SM_bay_J8_March_2020,C46
111,J9,cnidaria,anthozoa,scleractinia,Poritidae,Porites,astreoides,SWB,SW,bay,12.07093,68.8585,202003,2020,March,1,SW_bay,1,1_astreoides,1_astreoides_SW_bay,1PASWBMarch2020,March_2020,March_2020_SW_bay,SW_bay_J9_March_2020,A4
112,K1,cnidaria,anthozoa,scleractinia,Poritidae,Porites,astreoides,DB,SW,bay,12.06624,68.86019,202003,2020,March,1,SW_bay,12,12_astreoides,12_astreoides_SW_bay,12PADBMarch2020,March_2020,March_2020_SW_bay,SW_bay_K1_March_2020,A4
113,K10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202011,2020,November,5,SM_reef,72,72_siderea,72_siderea_SM_reef,72SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_K10_November_2020,C3
114,K11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,202011,2020,November,1,SW_bay,58,58_radians,58_radians_SW_bay,58SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_K11_November_2020,D1
115,K12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,202011,2020,November,1,SW_bay,9,9_radians,9_radians_SW_bay,9SRSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_K12_November_2020,C45
116,K2,cnidaria,anthozoa,scleractinia,Poritidae,Porites,astreoides,DB,SW,bay,12.06624,68.86019,202003,2020,March,1,SW_bay,87,87_astreoides,87_astreoides_SW_bay,87PADBMarch2020,March_2020,March_2020_SW_bay,SW_bay_K2_March_2020,A4
117,K3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202011,2020,November,1,SW_bay,XX,XX_siderea,XX_siderea_SW_bay,XXSSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_K3_November_2020,D1
118,K4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202011,2020,November,1,SW_bay,71,71_siderea,71_siderea_SW_bay,71SSSWBNovember2020,November_2020,November_2020_SW_bay,SW_bay_K4_November_2020,D1
119,K5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202011,2020,November,5,SW_reef,10,10_siderea,10_siderea_SW_reef,10SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_K5_November_2020,C3
120,K6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202011,2020,November,5,SW_reef,41,41_siderea,41_siderea_SW_reef,41SSDBNovember2020,November_2020,November_2020_SW_reef,SW_reef_K6_November_2020,C3
121,K7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202011,2020,November,1,SM_bay,8,8_siderea,8_siderea_SM_bay,8SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_K7_November_2020,D1
122,K8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202011,2020,November,1,SM_bay,40,40_siderea,40_siderea_SM_bay,40SSSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_K8_November_2020,D1
123,K9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202011,2020,November,5,SM_reef,48,48_siderea,48_siderea_SM_reef,48SSSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_K9_November_2020,D1
124,L1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,202011,2020,November,1,SW_bay,91,91_radians,91_radians_SW_bay,91SRSWBNovember2020_duplicate,November_2020,November_2020_SW_bay,SW_bay_L1_November_2020,C46
125,L10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,8,8_siderea,8_siderea_SM_bay,8SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_L10_November_2021,D1
126,L11,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,18,18_siderea,18_siderea_SM_bay,18SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_L11_November_2021,D1
127,L12,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,33,33_siderea,33_siderea_SM_bay,33SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_L12_November_2021,D1
128,L2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,202011,2020,November,1,SM_bay,36,36_radians,36_radians_SM_bay,36SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_L2_November_2020,C46
129,L3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,202011,2020,November,1,SM_bay,45,45_radians,45_radians_SM_bay,45SRSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_L3_November_2020,C1
130,L4,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202011,2020,November,1,SM_bay,15,15_porites,15_porites_SM_bay,15PPSMBNovember2020,November_2020,November_2020_SM_bay,SM_bay_L4_November_2020,A4
131,L5,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,202011,2020,November,5,SM_reef,7,7_porites,7_porites_SM_reef,7PPSMRNovember2020,November_2020,November_2020_SM_reef,SM_reef_L5_November_2020,C42
132,L6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202111,2021,November,1,SW_bay,71,71_siderea,71_siderea_SW_bay,71SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_L6_November_2021,D1
133,L7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SWB,SW,bay,12.07093,68.8585,202111,2021,November,1,SW_bay,94,94_siderea,94_siderea_SW_bay,94SSSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_L7_November_2021,D1
134,L8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202111,2021,November,5,SW_reef,38,38_siderea,38_siderea_SW_reef,38SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_L8_November_2021,C3
135,L9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,DB,SW,reef,12.06624,68.86019,202111,2021,November,5,SW_reef,53,53_siderea,53_siderea_SW_reef,53SSDBNovember2021,November_2021,November_2021_SW_reef,SW_reef_L9_November_2021,C3
136,M1,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,39,39_siderea,39_siderea_SM_bay,39SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M1_November_2021,C1
137,M10,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,86,86_radians,86_radians_SM_bay,86SRSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M10_November_2021,C46
138,M11,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,26,26_porites,26_porites_SM_bay,26PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M11_November_2021,A4
139,M12,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,97,97_porites,97_porites_SM_bay,97PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M12_November_2021,A4
140,M2,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,44,44_siderea,44_siderea_SM_bay,44SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M2_November_2021,D1
141,M3,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,99,99_siderea,99_siderea_SM_bay,99SSSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_M3_November_2021,D1
142,M4,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,15,15_siderea,15_siderea_SM_reef,15SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_M4_November_2021,D1
143,M5,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,16,16_siderea,16_siderea_SM_reef,16SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_M5_November_2021,D1
144,M6,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,17,17_siderea,17_siderea_SM_reef,17SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_M6_November_2021,C1
145,M7,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,18,18_siderea,18_siderea_SM_reef,18SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_M7_November_2021,C3
146,M8,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,siderea,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,19,19_siderea,19_siderea_SM_reef,19SSSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_M8_November_2021,D1
147,M9,cnidaria,anthozoa,scleractinia,Siderastreidae,Siderastrea,radians,SWB,SW,bay,12.07093,68.8585,202111,2021,November,1,SW_bay,56,56_radians,56_radians_SW_bay,56SRSWBNovember2021,November_2021,November_2021_SW_bay,SW_bay_M9_November_2021,C46
148,N1,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,7,7_porites,7_porites_SM_bay,7PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_N1_November_2021,C42
149,N10,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,52,52_porites,52_porites_SM_reef,52PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_N10_November_2021,C47a
150,N12,,,,,,,,,,NA,NA,,NA,,NA,,,,,blank,_NA,_NA_,__N12__NA,NA
151,N2,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,11,11_porites,11_porites_SM_bay,11PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_N2_November_2021,A4
152,N3,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,24,24_porites,24_porites_SM_bay,24PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_N3_November_2021,A4
153,N4,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,25,25_porites,25_porites_SM_bay,25PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_N4_November_2021,A4
154,N5,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMB,SM,bay,12.26947,69.12917,202111,2021,November,1,SM_bay,50,50_porites,50_porites_SM_bay,50PPSMBNovember2021,November_2021,November_2021_SM_bay,SM_bay_N5_November_2021,A4
155,N6,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,3,3_porites,3_porites_SM_reef,3PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_N6_November_2021,C47a
156,N7,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,4,4_porites,4_porites_SM_reef,4PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_N7_November_2021,C47a
157,N8,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,28,28_porites,28_porites_SM_reef,28PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_N8_November_2021,C47a
158,N9,cnidaria,anthozoa,scleractinia,Poritidae,Porites,porites,SMR,SM,reef,12.26654,69.12768,202111,2021,November,5,SM_reef,47,47_porites,47_porites_SM_reef,47PPSMRNovember2021,November_2021,November_2021_SM_reef,SM_reef_N9_November_2021,C42