"id","A4_sum","B19_sum","B5_sum","B2_sum","C46_sum","C3_sum","C47a_sum","C1_sum","C45_sum","C42_sum","D1_sum","host_phylum","host_class","host_order","host_family","host_genus","host_species","site","area","reef_bay","collection_latitude","collection_longitude","collection_date","collection_year","collection_month","collection_depth","site_zone","number","no_sp","no_sp_lo","full_sample_id","m_y","m_y_s_z","sample_full","dominant_type","minor_type"
"A1",0,0,0,0,0.0156002595717067,0,0,0.710136275146009,0,0,0.274263465282284,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","77","77_siderea","77_siderea_SW_bay","77SSSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_A1_March_2020","C1","C46"
"A10",0,0.0438881914375753,0,0,0,0,0,0,0,0,0.956111808562425,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","82","82_siderea","82_siderea_SM_bay","82SSSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_A10_March_2020","D1","B19"
"A11",0,0,0,0,0,0,0,1,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","86","86_siderea","86_siderea_SM_bay","86SSSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_A11_March_2020","C1",NA
"A12",0,0.00963288622553275,0,0,0,0,0,0,0,0,0.990367113774467,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","93","93_siderea","93_siderea_SM_bay","93SSSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_A12_March_2020","D1","B19"
"A2",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","78","78_siderea","78_siderea_SW_bay","78SSSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_A2_March_2020","D1",NA
"A3",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","83","83_siderea","83_siderea_SW_bay","83SSSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_A3_March_2020","D1",NA
"A4",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","95","95_siderea","95_siderea_SW_bay","95SSSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_A4_March_2020","D1",NA
"A5",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","3/1/20","2020","March","5","SW_reef","13","13_siderea","13_siderea_SW_reef","13SSDBMarch2020","March 2020","March_2020_SW_reef","SW_reef_A5_March_2020","C3",NA
"A6",0,0,0,0,0,0.725629006026978,0,0,0,0,0.274370993973022,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","3/1/20","2020","March","5","SW_reef","85","85_siderea","85_siderea_SW_reef","85SSDBMarch2020","March 2020","March_2020_SW_reef","SW_reef_A6_March_2020","C3","D1"
"A7",0,0.00650495470849292,0,0,0,0.508571949662593,0,0,0,0,0.484923095628914,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","3/1/20","2020","March","5","SW_reef","96","96_siderea","96_siderea_SW_reef","96SSDBMarch2020","March 2020","March_2020_SW_reef","SW_reef_A7_March_2020",NA,"B19"
"A8",0,0,0,0,0,0.982699526685164,0,0,0,0,0.017300473314836,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","3/1/20","2020","March","5","SW_reef","97","97_siderea","97_siderea_SW_reef","97SSDBMarch2020","March 2020","March_2020_SW_reef","SW_reef_A8_March_2020","C3","D1"
"A9",0,0.181343570057582,0,0,0,0,0,0,0,0,0.818656429942418,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","74","74_siderea","74_siderea_SM_bay","74SSSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_A9_March_2020","D1","B19"
"B1",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","3/1/20","2020","March","5","SM_reef","61","61_siderea","61_siderea_SM_reef","61SSSMRMarch2020","March 2020","March_2020_SM_reef","SM_reef_B1_March_2020","C3",NA
"B10",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","73","73_radians","73_radians_SM_bay","73SRSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_B10_March_2020","C46",NA
"B11",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","89","89_radians","89_radians_SM_bay","89SRSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_B11_March_2020","C46",NA
"B12",0,0.00832259982165857,0,0,0.991677400178341,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","90","90_radians","90_radians_SM_bay","90SRSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_B12_March_2020","C46","B19"
"B2",0,0.0202791860545871,0,0,0,0,0,0,0,0,0.979720813945413,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","3/1/20","2020","March","5","SM_reef","62","62_siderea","62_siderea_SM_reef","62SSSMRMarch2020","March 2020","March_2020_SM_reef","SM_reef_B2_March_2020","D1","B19"
"B3",0,0,0,0,0,0,0,0.96590391856664,0,0,0.0340960814333595,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","3/1/20","2020","March","5","SM_reef","63","63_siderea","63_siderea_SM_reef","63SSSMRMarch2020","March 2020","March_2020_SM_reef","SM_reef_B3_March_2020","C1","D1"
"B4",0,0,0,0,0,0.680770515532791,0,0,0,0,0.319229484467209,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","3/1/20","2020","March","5","SM_reef","64","64_siderea","64_siderea_SM_reef","64SSSMRMarch2020","March 2020","March_2020_SM_reef","SM_reef_B4_March_2020",NA,"C3"
"B5",0,0.00732624693376942,0,0,0.992673753066231,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","75","75_radians","75_radians_SW_bay","75SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B5_March_2020","C46","B19"
"B6",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","79","79_radians","79_radians_SW_bay","79SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B6_March_2020","C46",NA
"B7",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","80","80_radians","80_radians_SW_bay","80SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B7_March_2020","C46",NA
"B8",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","84","84_radians","84_radians_SW_bay","84SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B8_March_2020","C46",NA
"B9",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","3/1/20","2020","March","1","SW_bay","98","98_radians","98_radians_SW_bay","98SRSWBMarch2020","March 2020","March_2020_SW_bay","SW_bay_B9_March_2020","C46",NA
"C1",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","3/1/20","2020","March","1","SM_bay","92","92_radians","92_radians_SM_bay","92SRSMBMarch2020","March 2020","March_2020_SM_bay","SM_bay_C1_March_2020","C46",NA
"C10",0,0.0363737663164597,0,0,0,0,0,0,0,0,0.96362623368354,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","35","35_siderea","35_siderea_SM_bay","35SSSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_C10_November_2020","D1","B19"
"C11",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","37","37_siderea","37_siderea_SM_bay","37SSSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_C11_November_2020","D1",NA
"C12",0,0,0,0,0,0,0,0.622247802427794,0,0,0.377752197572206,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","70","70_siderea","70_siderea_SM_bay","70SSSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_C12_November_2020",NA,"C1"
"C2",0,0.0142762771579565,0,0,0,0,0,0,0,0,0.985723722842043,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","56","56_siderea","56_siderea_SW_bay","56SSSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_C2_November_2020","D1","B19"
"C3",0,0.0241594417424403,0,0,0,0,0,0.123599069570734,0,0,0.852241488686826,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","77","77_siderea","77_siderea_SW_bay","77SSSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_C3_November_2020","D1","B19"
"C4",0,0,0,0,0.00540192194696639,0,0,0,0,0,0.994598078053034,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","83","83_siderea","83_siderea_SW_bay","83SSSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_C4_November_2020","D1","C46"
"C5",0,0.0335316960676466,0,0,0,0,0,0,0,0,0.966468303932354,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","95","95_siderea","95_siderea_SW_bay","95SSSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_C5_November_2020","D1","B19"
"C6",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/20","2020","November","5","SW_reef","49","49_siderea","49_siderea_SW_reef","49SSDBNovember2020","November 2020","November_2020_SW_reef","SW_reef_C6_November_2020","D1",NA
"C7",0,0,0,0,0,0.555765512392336,0,0,0,0,0.444234487607664,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/20","2020","November","5","SW_reef","85","85_siderea","85_siderea_SW_reef","85SSDBNovember2020","November 2020","November_2020_SW_reef","SW_reef_C7_November_2020",NA,"C3"
"C8",0,0,0,0,0,0.0306634454562349,0,0,0,0.000520349377439138,0.968816205166326,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/20","2020","November","5","SW_reef","96","96_siderea","96_siderea_SW_reef","96SSDBNovember2020","November 2020","November_2020_SW_reef","SW_reef_C8_November_2020","D1","C3"
"C9",0,0,0,0,0,0.882145408583833,0,0,0,0,0.117854591416167,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef","12.06624","68.86019","11/1/20","2020","November","5","SW_reef","97","97_siderea","97_siderea_SW_reef","97SSDBNovember2020","November 2020","November_2020_SW_reef","SW_reef_C9_November_2020","C3","D1"
"D1",0,0.167137540673772,0,0,0,0,0,0,0,0,0.832862459326228,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","82","82_siderea","82_siderea_SM_bay","82SSSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_D1_November_2020","D1","B19"
"D10",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","84","84_radians","84_radians_SW_bay","84SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D10_November_2020","C46",NA
"D11",0,0,0.208452084649807,0,0.791547915350193,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","98","98_radians","98_radians_SM_bay","98SRSWBNovember2020","November 2020","November_2020_SM_bay","SM_bay_D11_November_2020","C46","B5"
"D12",0,0,0,0,0.0816855628216538,0,0,0.918314437178346,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","44","44_radians","44_radians_SM_bay","44SRSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_D12_November_2020","C1","C46"
"D2",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","42","42_siderea","42_siderea_SM_reef","42SSSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_D2_November_2020","C3",NA
"D3",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","43","43_siderea","43_siderea_SM_reef","43SSSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_D3_November_2020","C3",NA
"D4",0,0,0,0,0,0,0,0.991658488714426,0,0,0.00834151128557409,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","63","63_siderea","63_siderea_SM_reef","63SSSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_D4_November_2020","C1","D1"
"D5",0,0,0,0,0,0.629680143487034,0,0,0,0,0.370319856512966,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","64","64_siderea","64_siderea_SM_reef","64SSSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_D5_November_2020",NA,"C3"
"D6",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","91","91_radians","91_radians_SW_bay","91SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D6_November_2020","C46",NA
"D7",0,0.0477733598409543,0,0,0.952226640159046,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","75","75_radians","75_radians_SW_bay","75SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D7_November_2020","C46","B19"
"D8",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","79","79_radians","79_radians_SW_bay","79SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D8_November_2020","C46",NA
"D9",0,0.0113546042920404,0,0,0.98864539570796,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay","12.07093","68.8585","11/1/20","2020","November","1","SW_bay","80","80_radians","80_radians_SW_bay","80SRSWBNovember2020","November 2020","November_2020_SW_bay","SW_bay_D9_November_2020","C46","B19"
"E1",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay","12.26947","69.12917","11/1/20","2020","November","1","SM_bay","60","60_radians","60_radians_SM_bay","60SRSMBNovember2020","November 2020","November_2020_SM_bay","SM_bay_E1_November_2020","C46",NA
"E10",0.620766006800749,0,0,0,0,0,0.379233993199251,0,0,0,0,"cnidaria","anthozoa","scleractinia","Poritidae","Porites","porites","SMR","SM","reef","12.26654","69.12768","11/1/20","2020","November","5","SM_reef","32","32_porites","32_porites_SM_reef","32PPSMRNovember2020","November 2020","November_2020_SM_reef","SM_reef_E10_November_2020",NA,"A4"
