"id","A4_sum","B19_sum","B5_sum","B2_sum","C46_sum","C3_sum","C47a_sum","C1_sum","C45_sum","C42_sum","D1_sum","host_phylum","host_class","host_order","host_family","host_genus","host_species","site","area","reef_bay","collection_latitude","collection_longitude","collection_date","collection_year","collection_month","collection_depth","site_zone","number","no_sp","no_sp_lo","full_sample_id","m_y","m_y_s_z","sample_full","coral_species","Timepoint","bio_locator","site_zone.1","depth_m","f_reads_name","r_reads_name","sample_name_bioac","lat_lon","site_nice"
"A1",0,0,0,0,0.0156002595717067,0,0,0.710136275146009,0,0,0.274263465282284,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","77","77_siderea","77_siderea_SW_bay","77SSSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_A1_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","A1_R1_NoIll.fastq.gz","A1_R2_NoIll.fastq.gz","A1_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"A10",0,0.0438881914375753,0,0,0,0,0,0,0,0,0.956111808562425,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","82","82_siderea","82_siderea_SM_bay","82SSSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_A10_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","A10_R1_NoIll.fastq.gz","A10_R2_NoIll.fastq.gz","A10_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"A11",0,0,0,0,0,0,0,1,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","86","86_siderea","86_siderea_SM_bay","86SSSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_A11_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","A11_R1_NoIll.fastq.gz","A11_R2_NoIll.fastq.gz","A11_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"A12",0,0.00963288622553275,0,0,0,0,0,0,0,0,0.990367113774467,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","93","93_siderea","93_siderea_SM_bay","93SSSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_A12_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","A12_R1_NoIll.fastq.gz","A12_R2_NoIll.fastq.gz","A12_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"A2",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","78","78_siderea","78_siderea_SW_bay","78SSSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_A2_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","A2_R1_NoIll.fastq.gz","A2_R2_NoIll.fastq.gz","A2_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"A3",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","83","83_siderea","83_siderea_SW_bay","83SSSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_A3_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","A3_R1_NoIll.fastq.gz","A3_R2_NoIll.fastq.gz","A3_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"A4",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","95","95_siderea","95_siderea_SW_bay","95SSSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_A4_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","A4_R1_NoIll.fastq.gz","A4_R2_NoIll.fastq.gz","A4_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"A5",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"3/1/20",2020,"March",5,"SW_reef","13","13_siderea","13_siderea_SW_reef","13SSDBMarch2020","March_2020","March_2020_SW_reef","SW_reef_A5_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Spaanse Water Reef","Spaanse Water Reef","5 m","A5_R1_NoIll.fastq.gz","A5_R2_NoIll.fastq.gz","A5_R1_NoIll","12.06624 N 68.86019 W","Spaanse Water Reef"
"A6",0,0,0,0,0,0.725629006026978,0,0,0,0,0.274370993973022,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"3/1/20",2020,"March",5,"SW_reef","85","85_siderea","85_siderea_SW_reef","85SSDBMarch2020","March_2020","March_2020_SW_reef","SW_reef_A6_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Spaanse Water Reef","Spaanse Water Reef","5 m","A6_R1_NoIll.fastq.gz","A6_R2_NoIll.fastq.gz","A6_R1_NoIll","12.06624 N 68.86019 W","Spaanse Water Reef"
"A7",0,0.00650495470849292,0,0,0,0.508571949662593,0,0,0,0,0.484923095628914,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"3/1/20",2020,"March",5,"SW_reef","96","96_siderea","96_siderea_SW_reef","96SSDBMarch2020","March_2020","March_2020_SW_reef","SW_reef_A7_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Spaanse Water Reef","Spaanse Water Reef","5 m","A7_R1_NoIll.fastq.gz","A7_R2_NoIll.fastq.gz","A7_R1_NoIll","12.06624 N 68.86019 W","Spaanse Water Reef"
"A8",0,0,0,0,0,0.982699526685164,0,0,0,0,0.017300473314836,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"3/1/20",2020,"March",5,"SW_reef","97","97_siderea","97_siderea_SW_reef","97SSDBMarch2020","March_2020","March_2020_SW_reef","SW_reef_A8_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Spaanse Water Reef","Spaanse Water Reef","5 m","A8_R1_NoIll.fastq.gz","A8_R2_NoIll.fastq.gz","A8_R1_NoIll","12.06624 N 68.86019 W","Spaanse Water Reef"
"A9",0,0.181343570057582,0,0,0,0,0,0,0,0,0.818656429942418,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","74","74_siderea","74_siderea_SM_bay","74SSSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_A9_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","A9_R1_NoIll.fastq.gz","A9_R2_NoIll.fastq.gz","A9_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"B1",0,0,0,0,0,1,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","61","61_siderea","61_siderea_SM_reef","61SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B1_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Santa Martha Reef","Santa Martha Reef","5 m","B1_R1_NoIll.fastq.gz","B1_R2_NoIll.fastq.gz","B1_R1_NoIll","12.26654 N 69.12768 W","Santa Martha Reef"
"B10",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","73","73_radians","73_radians_SM_bay","73SRSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_B10_March_2020","Siderastrea radians","Mar-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","B10_R1_NoIll.fastq.gz","B10_R2_NoIll.fastq.gz","B10_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"B11",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","89","89_radians","89_radians_SM_bay","89SRSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_B11_March_2020","Siderastrea radians","Mar-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","B11_R1_NoIll.fastq.gz","B11_R2_NoIll.fastq.gz","B11_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"B12",0,0.00832259982165857,0,0,0.991677400178341,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","90","90_radians","90_radians_SM_bay","90SRSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_B12_March_2020","Siderastrea radians","Mar-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","B12_R1_NoIll.fastq.gz","B12_R2_NoIll.fastq.gz","B12_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"B2",0,0.0202791860545871,0,0,0,0,0,0,0,0,0.979720813945413,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","62","62_siderea","62_siderea_SM_reef","62SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B2_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Santa Martha Reef","Santa Martha Reef","5 m","B2_R1_NoIll.fastq.gz","B2_R2_NoIll.fastq.gz","B2_R1_NoIll","12.26654 N 69.12768 W","Santa Martha Reef"
"B3",0,0,0,0,0,0,0,0.96590391856664,0,0,0.0340960814333595,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","63","63_siderea","63_siderea_SM_reef","63SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B3_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Santa Martha Reef","Santa Martha Reef","5 m","B3_R1_NoIll.fastq.gz","B3_R2_NoIll.fastq.gz","B3_R1_NoIll","12.26654 N 69.12768 W","Santa Martha Reef"
"B4",0,0,0,0,0,0.680770515532791,0,0,0,0,0.319229484467209,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMR","SM","reef",12.26654,69.12768,"3/1/20",2020,"March",5,"SM_reef","64","64_siderea","64_siderea_SM_reef","64SSSMRMarch2020","March_2020","March_2020_SM_reef","SM_reef_B4_March_2020","Siderastrea siderea","Mar-20","CuraŤao: Santa Martha Reef","Santa Martha Reef","5 m","B4_R1_NoIll.fastq.gz","B4_R2_NoIll.fastq.gz","B4_R1_NoIll","12.26654 N 69.12768 W","Santa Martha Reef"
"B5",0,0.00732624693376942,0,0,0.992673753066231,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","75","75_radians","75_radians_SW_bay","75SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B5_March_2020","Siderastrea radians","Mar-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","B5_R1_NoIll.fastq.gz","B5_R2_NoIll.fastq.gz","B5_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"B6",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","79","79_radians","79_radians_SW_bay","79SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B6_March_2020","Siderastrea radians","Mar-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","B6_R1_NoIll.fastq.gz","B6_R2_NoIll.fastq.gz","B6_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"B7",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","80","80_radians","80_radians_SW_bay","80SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B7_March_2020","Siderastrea radians","Mar-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","B7_R1_NoIll.fastq.gz","B7_R2_NoIll.fastq.gz","B7_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"B8",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","84","84_radians","84_radians_SW_bay","84SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B8_March_2020","Siderastrea radians","Mar-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","B8_R1_NoIll.fastq.gz","B8_R2_NoIll.fastq.gz","B8_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"B9",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SWB","SW","bay",12.07093,68.8585,"3/1/20",2020,"March",1,"SW_bay","98","98_radians","98_radians_SW_bay","98SRSWBMarch2020","March_2020","March_2020_SW_bay","SW_bay_B9_March_2020","Siderastrea radians","Mar-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","B9_R1_NoIll.fastq.gz","B9_R2_NoIll.fastq.gz","B9_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"C1",0,0,0,0,1,0,0,0,0,0,0,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","radians","SMB","SM","bay",12.26947,69.12917,"3/1/20",2020,"March",1,"SM_bay","92","92_radians","92_radians_SM_bay","92SRSMBMarch2020","March_2020","March_2020_SM_bay","SM_bay_C1_March_2020","Siderastrea radians","Mar-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","C1_R1_NoIll.fastq.gz","C1_R2_NoIll.fastq.gz","C1_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"C10",0,0.0363737663164597,0,0,0,0,0,0,0,0,0.96362623368354,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/20",2020,"November",1,"SM_bay","35","35_siderea","35_siderea_SM_bay","35SSSMBNovember2020","November_2020","November_2020_SM_bay","SM_bay_C10_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","C10_R1_NoIll.fastq.gz","C10_R2_NoIll.fastq.gz","C10_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"C11",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/20",2020,"November",1,"SM_bay","37","37_siderea","37_siderea_SM_bay","37SSSMBNovember2020","November_2020","November_2020_SM_bay","SM_bay_C11_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","C11_R1_NoIll.fastq.gz","C11_R2_NoIll.fastq.gz","C11_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"C12",0,0,0,0,0,0,0,0.622247802427794,0,0,0.377752197572206,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SMB","SM","bay",12.26947,69.12917,"11/1/20",2020,"November",1,"SM_bay","70","70_siderea","70_siderea_SM_bay","70SSSMBNovember2020","November_2020","November_2020_SM_bay","SM_bay_C12_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Santa Martha Bay","Santa Martha Bay","1 m","C12_R1_NoIll.fastq.gz","C12_R2_NoIll.fastq.gz","C12_R1_NoIll","12.26947 N 69.12917 W","Santa Martha Bay"
"C2",0,0.0142762771579565,0,0,0,0,0,0,0,0,0.985723722842043,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","56","56_siderea","56_siderea_SW_bay","56SSSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_C2_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","C2_R1_NoIll.fastq.gz","C2_R2_NoIll.fastq.gz","C2_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"C3",0,0.0241594417424403,0,0,0,0,0,0.123599069570734,0,0,0.852241488686826,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","77","77_siderea","77_siderea_SW_bay","77SSSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_C3_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","C3_R1_NoIll.fastq.gz","C3_R2_NoIll.fastq.gz","C3_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"C4",0,0,0,0,0.0054019219469664,0,0,0,0,0,0.994598078053034,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","83","83_siderea","83_siderea_SW_bay","83SSSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_C4_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","C4_R1_NoIll.fastq.gz","C4_R2_NoIll.fastq.gz","C4_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"C5",0,0.0335316960676466,0,0,0,0,0,0,0,0,0.966468303932354,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","SWB","SW","bay",12.07093,68.8585,"11/1/20",2020,"November",1,"SW_bay","95","95_siderea","95_siderea_SW_bay","95SSSWBNovember2020","November_2020","November_2020_SW_bay","SW_bay_C5_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Spaanse Water Bay","Spaanse Water Bay","1 m","C5_R1_NoIll.fastq.gz","C5_R2_NoIll.fastq.gz","C5_R1_NoIll","12.07093 N 68.8585 W","Spaanse Water Bay"
"C6",0,0,0,0,0,0,0,0,0,0,1,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"11/1/20",2020,"November",5,"SW_reef","49","49_siderea","49_siderea_SW_reef","49SSDBNovember2020","November_2020","November_2020_SW_reef","SW_reef_C6_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Spaanse Water Reef","Spaanse Water Reef","5 m","C6_R1_NoIll.fastq.gz","C6_R2_NoIll.fastq.gz","C6_R1_NoIll","12.06624 N 68.86019 W","Spaanse Water Reef"
"C7",0,0,0,0,0,0.555765512392336,0,0,0,0,0.444234487607664,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"11/1/20",2020,"November",5,"SW_reef","85","85_siderea","85_siderea_SW_reef","85SSDBNovember2020","November_2020","November_2020_SW_reef","SW_reef_C7_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Spaanse Water Reef","Spaanse Water Reef","5 m","C7_R1_NoIll.fastq.gz","C7_R2_NoIll.fastq.gz","C7_R1_NoIll","12.06624 N 68.86019 W","Spaanse Water Reef"
"C8",0,0,0,0,0,0.0306634454562349,0,0,0,0.000520349377439138,0.968816205166326,"cnidaria","anthozoa","scleractinia","Siderastreidae","Siderastrea","siderea","DB","SW","reef",12.06624,68.86019,"11/1/20",2020,"November",5,"SW_reef","96","96_siderea","96_siderea_SW_reef","96SSDBNovember2020","November_2020","November_2020_SW_reef","SW_reef_C8_November_2020","Siderastrea siderea","Nov-20","CuraŤao: Spaanse Water Reef","Spaanse Water Reef","5 m","C8_R1_NoIll.fastq.gz","C8_R2_NoIll.fastq.gz","C8_R1_NoIll","12.06624 N 68.86019 W","Spaanse Water Reef"
