Clade,ITS2_type
A,A_A4
A,A_A4a
A,A_A4dd
A,A_45414
A,A_A4au
A,A_2855659
A,A_137741
A,A_2855660
A,A_1954863
A,A_3065156
A,A_A4bf
A,A_2855661
A,A_2855658
A,A_A4h
A,A_2855664
A,A_288729
A,A_71563
A,A_A4ch
A,A_2855663
A,A_51051
A,A_1954913
A,A_136551
A,A_A4ai
A,A_A4cb
A,A_A4ax
A,A_136612
A,A_A4al
A,A_2855662
A,A_30298
A,A_38115
A,A_1265953
A,A_136538
A,A_A4de
A,A_3103464
A,A_3103459
A,A_136343
A,A_3103460
A,A_44468
A,A_136994
A,A_136421
A,A_45427
A,A_3103462
A,A_A4ah
A,A_3103461
A,A_A4bt
A,A_53689
A,A_3103454
A,A_40204
A,A_70697
A,A_A4bz
A,A_A4av
A,A_52078
A,A_50125
A,A_136724
A,A_137160
A,A_1947430
A,A_286716
A,A_30200
A,A_1947428
A,A_2855745
A,A_2855755
A,A_44195
A,A_59238
A,A_3103463
A,A_A4bu
A,A_30594
A,A_2855744
A,A_137301
A,A_43352
A,A_136553
A,A_50815
A,A_2855754
A,A_3103455
A,A_30729
A,A_40170
A,A_137175
A,A_50530
A,A_A1
A,A_49844
A,A_136441
A,A_3103471
A,A_136456
A,A_40189
A,A_2855746
A,A_137102
A,A_A4bv
A,A_29287
A,A_49928
A,A_2855675
A,A_49924
A,A_310667
A,A_136351
A,A_137619
A,A_136338
A,A_A1bn
A,A_A1ck
A,A_65009
A,A_A1fk
A,A_A1dh
A,A_49604
A,A_29990
A,A_43971
A,A_A2c
A,A_44200
A,A_30209
A,A_136347
A,A_38160
A,A_53368
A,A_49899
A,A_30220
A,A_A4bk
A,A_29982
A,A_A4an
A,A_53588
A,A_30773
A,A_29513
A,A_52081
A,A_50107
A,A_49565
A,A_45257
A,A_30193
A,A_29879
A,A_29292
A,A_29211
A,A_136564
A,A_136437
A,A_1340433
B,B_B19
B,B_B5
B,B_B19ai
B,B_B19x
B,B_B2
B,B_B19aq
B,B_B19ap
B,B_B19ak
B,B_B19ao
B,B_B19an
B,B_899620
B,B_B19al
B,B_B5ay
B,B_B1dx
B,B_2855726
B,B_2855727
B,B_900141
B,B_43899
B,B_44077
B,B_37590
B,B_2804469
B,B_37592
B,B_2162186
B,B_37609
B,B_896756
B,B_2813097
B,B_1463614
B,B_44516
B,B_3103425
B,B_2855687
B,B_1913916
B,B_1468150
B,B_2855689
B,B_37601
B,B_3103428
B,B_B5e
B,B_900442
B,B_3103430
B,B_B5bp
B,B_1463679
B,B_1160926
B,B_44646
B,B_50380
B,B_52806
B,B_900545
B,B_3103427
B,B_363136
B,B_2855723
B,B_3103426
B,B_43359
B,B_2855245
B,B_365221
B,B_901074
B,B_2856457
B,B_45059
B,B_892043
B,B_44193
B,B_2855688
B,B_365224
B,B_37890
B,B_3103432
B,B_2157937
B,B_3103431
B,B_50102
B,B_3103446
B,B_3103445
B,B_3103434
B,B_37629
B,B_3103435
B,B_52803
B,B_3103433
B,B_38226
B,B_3103436
B,B_3103440
B,B_3103424
B,B_37899
B,B_51397
B,B_3103438
B,B_1466920
B,B_49993
B,B_B18e
B,B_3103437
B,B_37618
B,B_3103439
B,B_3103449
B,B_900210
B,B_51712
B,B_900144
B,B_3103429
B,B_B2r
B,B_B1
B,B_3103441
B,B_3103448
B,B_3103442
B,B_2903115
B,B_3103469
B,B_3103453
B,B_44170
B,B_B2f
B,B_43411
B,B_71368
B,B_43390
B,B_43368
B,B_B2n
B,B_3103447
B,B_1157424
B,B_43960
B,B_3103470
B,B_B2q
B,B_37897
B,B_2903117
B,B_3103466
B,B_2157903
B,B_3103444
B,B_2855729
B,B_B19y
B,B_3103467
B,B_3103458
B,B_3103450
B,B_B2d
B,B_896145
B,B_1463667
B,B_1157325
B,B_3103468
B,B_3103451
B,B_3103452
B,B_2902467
B,B_892173
B,B_2804481
B,B_1157420
B,B_B1cg
B,B_2902466
B,B_900269
B,B_45557
C,C_C46
C,C_C3
C,C_C1
C,C_C47a
C,C_C42.2
C,C_C42ef
C,C_C42eg
C,C_C1c
C,C_C3lp
C,C_C44
C,C_44726
C,C_C47
C,C_C3ed
C,C_C3n
C,C_C45l
C,C_C42eh
C,C_C46e
C,C_C1b
C,C_C47c
C,C_C47b
C,C_C1ge
C,C_44732
C,C_C42ej
C,C_C45a
C,C_C3lh
C,C_C6a
C,C_C42dp
C,C_C72k
C,C_1337729
C,C_2855657
C,C_2855679
C,C_C1al
C,C_49036
C,C_2855652
C,C_C42df
C,C_40128
C,C_2855708
C,C_C3ju
C,C_2855709
C,C_2855686
C,C_2855676
C,C_2152961
C,C_892135
C,C_2855667
C,C_2151502
C,C_2855707
C,C_2855699
C,C_895374
C,C_C1w
C,C_C16a
C,C_C50f
C,C_2856235
C,C_2855710
C,C_C1jx
C,C_2855747
C,C_2855706
C,C_1364
C,C_2855715
C,C_44728
C,C_C42ay
C,C_2855668
C,C_892788
C,C_2855711
C,C_C42au
C,C_2855705
C,C_2855712
C,C_2855722
C,C_C3ew
C,C_C1cu
C,C_2855681
C,C_72278
C,C_28866
C,C_11068
C,C_40126
C,C_C3sa
C,C_2855749
C,C_2855700
C,C_2855701
C,C_40125
C,C_C1bc
C,C_2152808
C,C_40133
C,C_1638089
C,C_892053
C,C_2855682
C,C_C3t
C,C_2151512
C,C_C1gn
C,C_43102
C,C_C7t
C,C_90856
C,C_C1br
C,C_44748
C,C_2855703
C,C_11056
C,C_2855702
C,C_2855683
C,C_2855694
C,C_895368
C,C_2855669
C,C_2855730
C,C_C1bh
C,C_2855731
C,C_2855680
C,C_C1cv
C,C_2855677
C,C_2855732
C,C_C3av
C,C_9770
C,C_C1gj
C,C_1346
C,C_1486562
C,C_895426
C,C_894019
C,C_2855718
C,C_C1ao
C,C_281
C,C_C3de
C,C_2151443
C,C_C3cm
C,C_C1hq
C,C_2855673
C,C_23580
C,C_2855728
C,C_2855670
C,C_C3ad
C,C_40132
C,C_44734
C,C_2855704
C,C_1265489
C,C_2151433
C,C_893975
C,C_2856041
C,C_44727
C,C_892841
C,C_C1l
C,C_2151531
C,C_90696
C,C_895383
C,C_21507
C,C_2856056
C,C_C1an
C,C_2855866
C,C_1355
C,C_2855922
C,C_894968
C,C_2855789
C,C_C1am
C,C_1671139
C,C_C3af
C,C_2855736
C,C_C1cb
C,C_70789
C,C_C3fw
C,C_48053
C,C_2856103
C,C_2856123
C,C_C3xo
C,C_26573
C,C_2855717
C,C_3065171
C,C_49179
C,C_892898
C,C_2663
C,C_3103443
C,C_C1lx
C,C_2856134
C,C_44098
C,C_3103465
C,C_2856329
C,C_C3cl
C,C_C1j
C,C_2553
C,C_5429
C,C_21042
C,C_C3dg
C,C_3065878
C,C_3103423
C,C_3103456
C,C_2555
C,C_53263
C,C_22278
C,C_3065879
C,C_C3cy
C,C_C1h
C,C_50761
C,C_2152932
C,C_71445
C,C_44105
C,C_21064
C,C_2151486
C,C_C3mo
C,C_C3hq
C,C_44102
C,C_2847132
C,C_3103457
C,C_746972
C,C_C1e
C,C_21059
C,C_21508
C,C_1464544
C,C_44094
C,C_2847130
C,C_1464061
C,C_816
C,C_3065886
C,C_2151438
C,C_17703
C,C_C1bp
C,C_C91
D,D_D1
D,D_D4
D,D_D4c
D,D_D1c
D,D_D1k
D,D_D2
D,D_D1ih
D,D_D1h
D,D_D1ck
D,D_D1n
D,D_22383
D,D_D5
D,D_D1fy
D,D_D1r
D,D_D17c
D,D_D17d
D,D_D1iu
D,D_D4bc
D,D_D4i
D,D_D17e
D,D_13759
D,D_4932
D,D_D1ip
D,D_D4av
D,D_D6
D,D_D17k
D,D_D5m
D,D_D17j
D,D_104741
D,D_D17
D,D_D4f
D,D_D4j
D,D_524521
D,D_62538
D,D_D17l
D,D_D10e
D,D_22593
D,D_3296
D,D_15547
D,D_14233
D,D_D1bp
D,D_D1ad
D,D_45946
D,D_D1ay
D,D_61998
D,D_43420
D,D_2856413
D,D_104711
D,D_72974
D,D_19419
D,D_D17q
D,D_D4ax
D,D_19423
D,D_10759
G,G_G3b
G,G_G3ay
G,G_G3al